[run number],number-of-tasks,vicinity-radius,self-conscious-coeff,dependence-exponent,number-of-people,initial-patience,willingness-to-help,[step]
515,100,10,1,1,29,100,20,170
512,100,10,1,1,23,100,20,227
504,100,10,1,1,7,100,20,253
514,100,10,1,1,27,100,20,195
503,100,10,1,1,5,100,20,325
517,100,10,1,1,33,100,20,157
516,100,10,1,1,31,100,20,163
518,100,10,1,1,35,100,20,155
519,100,10,1,1,37,100,20,178
523,100,10,1,1,45,100,20,149
526,100,10,1,1,51,100,20,149
502,100,10,1,1,3,100,20,461
525,100,10,1,1,49,100,20,152
524,100,10,1,1,47,100,20,148
520,100,10,1,1,39,100,20,203
522,100,10,1,1,43,100,20,171
521,100,10,1,1,41,100,20,193
528,100,10,1,1,55,100,20,161
529,100,10,1,1,57,100,20,160
527,100,10,1,1,53,100,20,220
531,100,10,1,1,61,100,20,154
530,100,10,1,1,59,100,20,204
532,100,10,1,1,63,100,20,163
533,100,10,1,1,65,100,20,162
534,100,10,1,1,67,100,20,156
535,100,10,1,1,69,100,20,148
541,100,10,1,1,81,100,20,147
537,100,10,1,1,73,100,20,185
536,100,10,1,1,71,100,20,179
538,100,10,1,1,75,100,20,151
542,100,10,1,1,83,100,20,153
540,100,10,1,1,79,100,20,174
543,100,10,1,1,85,100,20,147
539,100,10,1,1,77,100,20,221
544,100,10,1,1,87,100,20,173
545,100,10,1,1,89,100,20,155
547,100,10,1,1,93,100,20,136
546,100,10,1,1,91,100,20,169
548,100,10,1,1,95,100,20,168
501,100,10,1,1,1,100,20,821
555,100,10,1,1,9,100,40,122
549,100,10,1,1,97,100,20,158
557,100,10,1,1,13,100,40,116
558,100,10,1,1,15,100,40,140
550,100,10,1,1,99,100,20,155
560,100,10,1,1,19,100,40,103
554,100,10,1,1,7,100,40,177
559,100,10,1,1,17,100,40,130
556,100,10,1,1,11,100,40,218
562,100,10,1,1,23,100,40,120
563,100,10,1,1,25,100,40,95
561,100,10,1,1,21,100,40,110
553,100,10,1,1,5,100,40,249
565,100,10,1,1,29,100,40,106
564,100,10,1,1,27,100,40,105
552,100,10,1,1,3,100,40,260
570,100,10,1,1,39,100,40,89
568,100,10,1,1,35,100,40,97
566,100,10,1,1,31,100,40,130
569,100,10,1,1,37,100,40,119
567,100,10,1,1,33,100,40,133
573,100,10,1,1,45,100,40,92
572,100,10,1,1,43,100,40,92
571,100,10,1,1,41,100,40,127
575,100,10,1,1,49,100,40,111
