[run number],number-of-tasks,vicinity-radius,self-conscious-coeff,dependence-exponent,number-of-people,initial-patience,willingness-to-help,[step]
553,100,10,1,1,5,200,50,189
563,100,10,1,1,25,200,50,124
552,100,10,1,1,3,200,50,232
566,100,10,1,1,31,200,50,86
567,100,10,1,1,33,200,50,83
570,100,10,1,1,39,200,50,80
568,100,10,1,1,35,200,50,113
572,100,10,1,1,43,200,50,90
573,100,10,1,1,45,200,50,78
575,100,10,1,1,49,200,50,85
571,100,10,1,1,41,200,50,90
577,100,10,1,1,53,200,50,66
569,100,10,1,1,37,200,50,117
576,100,10,1,1,51,200,50,84
574,100,10,1,1,47,200,50,88
578,100,10,1,1,55,200,50,82
579,100,10,1,1,57,200,50,87
580,100,10,1,1,59,200,50,73
582,100,10,1,1,63,200,50,78
581,100,10,1,1,61,200,50,84
583,100,10,1,1,65,200,50,100
588,100,10,1,1,75,200,50,71
584,100,10,1,1,67,200,50,89
586,100,10,1,1,71,200,50,75
585,100,10,1,1,69,200,50,75
590,100,10,1,1,79,200,50,75
589,100,10,1,1,77,200,50,78
587,100,10,1,1,73,200,50,89
592,100,10,1,1,83,200,50,72
591,100,10,1,1,81,200,50,101
593,100,10,1,1,85,200,50,82
594,100,10,1,1,87,200,50,83
595,100,10,1,1,89,200,50,78
596,100,10,1,1,91,200,50,71
598,100,10,1,1,95,200,50,67
597,100,10,1,1,93,200,50,75
599,100,10,1,1,97,200,50,68
551,100,10,1,1,1,200,50,603
600,100,10,1,1,99,200,50,94
607,100,10,1,1,13,5,50,112
606,100,10,1,1,11,5,50,139
609,100,10,1,1,17,5,50,112
604,100,10,1,1,7,5,50,156
608,100,10,1,1,15,5,50,140
605,100,10,1,1,9,5,50,180
612,100,10,1,1,23,5,50,120
602,100,10,1,1,3,5,50,252
613,100,10,1,1,25,5,50,103
610,100,10,1,1,19,5,50,134
615,100,10,1,1,29,5,50,122
603,100,10,1,1,5,5,50,252
611,100,10,1,1,21,5,50,142
614,100,10,1,1,27,5,50,142
