,number-of-tasks,vicinity-radius,self-conscious-coeff,dependence-exponent,number-of-people,initial-patience,willingness-to-help,[step]
254,100.0,10.0,1.3000000000000003,1.0,73.0,100.0,50.0,95.5
255,100.0,10.0,1.0,1.0,73.0,100.0,50.0,81.33
256,100.0,10.0,0.6,1.0,73.0,100.0,50.0,58.61
257,100.0,10.0,1.5999999999999996,1.0,73.0,100.0,50.0,111.32
258,100.0,10.0,2.0,1.0,73.0,100.0,50.0,132.18
259,100.0,10.0,0.3,1.0,75.0,100.0,50.0,40.9
260,100.0,10.0,0.0,1.0,75.0,100.0,50.0,20.65
261,100.0,10.0,1.3000000000000003,1.0,75.0,100.0,50.0,96.83
262,100.0,10.0,1.0,1.0,75.0,100.0,50.0,79.91
263,100.0,10.0,0.6,1.0,75.0,100.0,50.0,58.22
264,100.0,10.0,1.5999999999999996,1.0,75.0,100.0,50.0,111.08
265,100.0,10.0,2.0,1.0,75.0,100.0,50.0,130.02
266,100.0,10.0,0.3,1.0,77.0,100.0,50.0,39.32
267,100.0,10.0,0.0,1.0,77.0,100.0,50.0,19.68
268,100.0,10.0,1.3000000000000003,1.0,77.0,100.0,50.0,97.6
269,100.0,10.0,1.0,1.0,77.0,100.0,50.0,82.87
270,100.0,10.0,0.6,1.0,77.0,100.0,50.0,58.64
271,100.0,10.0,1.5999999999999996,1.0,77.0,100.0,50.0,110.24
272,100.0,10.0,2.0,1.0,77.0,100.0,50.0,131.68
273,100.0,10.0,0.3,1.0,79.0,100.0,50.0,39.38
274,100.0,10.0,0.0,1.0,79.0,100.0,50.0,19.97
275,100.0,10.0,1.3000000000000003,1.0,79.0,100.0,50.0,95.25
276,100.0,10.0,1.0,1.0,79.0,100.0,50.0,78.73
277,100.0,10.0,0.6,1.0,79.0,100.0,50.0,57.41
278,100.0,10.0,1.5999999999999996,1.0,79.0,100.0,50.0,111.33
279,100.0,10.0,2.0,1.0,79.0,100.0,50.0,132.89
280,100.0,10.0,0.3,1.0,81.0,100.0,50.0,39.86
281,100.0,10.0,0.0,1.0,81.0,100.0,50.0,19.38
